type,subnet,specifics,source,Status,Environments,Destinations,Sources
PolicyType.Reachability,32.192.255.0/24,0,r4,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet100/0 (32.192.255.0/24)},r4
PolicyType.Reachability,32.192.255.0/24,0,r6,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet100/0 (32.192.255.0/24)},r6
PolicyType.Reachability,32.192.255.0/24,0,r5,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet100/0 (32.192.255.0/24)},r5
PolicyType.Reachability,32.192.255.0/24,0,r2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet100/0 (32.192.255.0/24)},r2
PolicyType.Reachability,32.192.255.0/24,0,r10,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet100/0 (32.192.255.0/24)},r10
PolicyType.Reachability,32.192.255.0/24,0,r7,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet100/0 (32.192.255.0/24)},r7
PolicyType.Reachability,32.157.56.0/24,0,r9,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.157.56.0/24)},r9
PolicyType.Reachability,32.157.56.0/24,0,r8,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.157.56.0/24)},r8
PolicyType.Reachability,32.157.56.0/24,0,r11,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.157.56.0/24)},r11
PolicyType.Reachability,32.157.56.0/24,0,r3,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.157.56.0/24)},r3
PolicyType.Reachability,32.157.56.0/24,0,r4,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.157.56.0/24)},r4
PolicyType.Reachability,32.157.56.0/24,0,r5,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.157.56.0/24)},r5
PolicyType.Reachability,32.157.56.0/24,0,r2,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.157.56.0/24)},r2
PolicyType.Reachability,32.157.56.0/24,0,r1,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.157.56.0/24)},r1
PolicyType.Reachability,32.157.56.0/24,0,r10,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.157.56.0/24)},r10
PolicyType.Reachability,32.157.56.0/24,0,r7,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.157.56.0/24)},r7
PolicyType.Reachability,32.154.234.0/24,0,r9,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet100/0 (32.154.234.0/24)},r9
PolicyType.Reachability,32.154.234.0/24,0,r8,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet100/0 (32.154.234.0/24)},r8
PolicyType.Reachability,32.154.234.0/24,0,r3,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet100/0 (32.154.234.0/24)},r3
PolicyType.Reachability,32.154.234.0/24,0,r4,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet100/0 (32.154.234.0/24)},r4
PolicyType.Reachability,32.154.234.0/24,0,r6,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet100/0 (32.154.234.0/24)},r6
PolicyType.Reachability,32.154.234.0/24,0,r5,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet100/0 (32.154.234.0/24)},r5
PolicyType.Reachability,32.154.234.0/24,0,r2,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet100/0 (32.154.234.0/24)},r2
PolicyType.Reachability,32.154.234.0/24,0,r1,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet100/0 (32.154.234.0/24)},r1
PolicyType.Reachability,32.154.234.0/24,0,r10,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet100/0 (32.154.234.0/24)},r10
PolicyType.Reachability,32.154.234.0/24,0,r7,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet100/0 (32.154.234.0/24)},r7
PolicyType.Reachability,32.138.10.0/24,0,r9,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.138.10.0/24)},r9
PolicyType.Reachability,32.138.10.0/24,0,r8,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.138.10.0/24)},r8
PolicyType.Reachability,32.138.10.0/24,0,r11,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.138.10.0/24)},r11
PolicyType.Reachability,32.138.10.0/24,0,r3,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.138.10.0/24)},r3
PolicyType.Reachability,32.138.10.0/24,0,r4,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.138.10.0/24)},r4
PolicyType.Reachability,32.138.10.0/24,0,r6,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.138.10.0/24)},r6
PolicyType.Reachability,32.138.10.0/24,0,r5,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.138.10.0/24)},r5
PolicyType.Reachability,32.138.10.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.138.10.0/24)},r1
PolicyType.Reachability,32.138.10.0/24,0,r10,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.138.10.0/24)},r10
PolicyType.Reachability,32.138.10.0/24,0,r7,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet110/0 (32.138.10.0/24)},r7
PolicyType.Reachability,32.68.41.0/24,0,r9,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.68.41.0/24)},r9
PolicyType.Reachability,32.68.41.0/24,0,r8,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.68.41.0/24)},r8
PolicyType.Reachability,32.68.41.0/24,0,r11,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.68.41.0/24)},r11
PolicyType.Reachability,32.68.41.0/24,0,r3,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.68.41.0/24)},r3
PolicyType.Reachability,32.68.41.0/24,0,r4,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.68.41.0/24)},r4
PolicyType.Reachability,32.68.41.0/24,0,r6,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.68.41.0/24)},r6
PolicyType.Reachability,32.68.41.0/24,0,r2,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.68.41.0/24)},r2
PolicyType.Reachability,32.68.41.0/24,0,r1,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.68.41.0/24)},r1
PolicyType.Reachability,32.68.41.0/24,0,r10,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.68.41.0/24)},r10
PolicyType.Reachability,32.68.41.0/24,0,r7,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet90/0 (32.68.41.0/24)},r7
PolicyType.Reachability,32.60.72.0/24,0,r9,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet100/0 (32.60.72.0/24)},r9
PolicyType.Reachability,32.60.72.0/24,0,r8,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet100/0 (32.60.72.0/24)},r8
PolicyType.Reachability,32.60.72.0/24,0,r11,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet100/0 (32.60.72.0/24)},r11
PolicyType.Reachability,32.60.72.0/24,0,r3,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet100/0 (32.60.72.0/24)},r3
PolicyType.Reachability,32.60.72.0/24,0,r4,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet100/0 (32.60.72.0/24)},r4
PolicyType.Reachability,32.60.72.0/24,0,r6,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet100/0 (32.60.72.0/24)},r6
PolicyType.Reachability,32.60.72.0/24,0,r5,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet100/0 (32.60.72.0/24)},r5
PolicyType.Reachability,32.60.72.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet100/0 (32.60.72.0/24)},r1
PolicyType.Reachability,32.60.72.0/24,0,r10,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet100/0 (32.60.72.0/24)},r10
PolicyType.Reachability,32.60.72.0/24,0,r7,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet100/0 (32.60.72.0/24)},r7
PolicyType.Reachability,32.44.68.0/24,0,r9,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet110/0 (32.44.68.0/24)},r9
PolicyType.Reachability,32.44.68.0/24,0,r8,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet110/0 (32.44.68.0/24)},r8
PolicyType.Reachability,32.44.68.0/24,0,r11,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet110/0 (32.44.68.0/24)},r11
PolicyType.Reachability,32.44.68.0/24,0,r3,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet110/0 (32.44.68.0/24)},r3
PolicyType.Reachability,32.44.68.0/24,0,r4,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet110/0 (32.44.68.0/24)},r4
PolicyType.Reachability,32.44.68.0/24,0,r5,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet110/0 (32.44.68.0/24)},r5
PolicyType.Reachability,32.44.68.0/24,0,r2,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet110/0 (32.44.68.0/24)},r2
PolicyType.Reachability,32.44.68.0/24,0,r1,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet110/0 (32.44.68.0/24)},r1
PolicyType.Reachability,32.44.68.0/24,0,r10,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet110/0 (32.44.68.0/24)},r10
PolicyType.Reachability,32.44.68.0/24,0,r7,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet110/0 (32.44.68.0/24)},r7
PolicyType.Reachability,32.37.17.0/24,0,r9,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.37.17.0/24)},r9
PolicyType.Reachability,32.37.17.0/24,0,r8,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.37.17.0/24)},r8
PolicyType.Reachability,32.37.17.0/24,0,r11,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.37.17.0/24)},r11
PolicyType.Reachability,32.37.17.0/24,0,r4,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.37.17.0/24)},r4
PolicyType.Reachability,32.37.17.0/24,0,r6,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.37.17.0/24)},r6
PolicyType.Reachability,32.37.17.0/24,0,r5,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.37.17.0/24)},r5
PolicyType.Reachability,32.37.17.0/24,0,r2,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.37.17.0/24)},r2
PolicyType.Reachability,32.37.17.0/24,0,r1,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.37.17.0/24)},r1
PolicyType.Reachability,32.37.17.0/24,0,r10,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.37.17.0/24)},r10
PolicyType.Reachability,32.37.17.0/24,0,r7,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.37.17.0/24)},r7
PolicyType.Reachability,2.128.10.0/24,0,r9,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r9
PolicyType.Reachability,2.128.10.0/24,0,r8,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r8
PolicyType.Reachability,2.128.10.0/24,0,r4,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r4
PolicyType.Reachability,2.128.10.0/24,0,r5,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r5
PolicyType.Reachability,2.128.10.0/24,0,r7,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r7
PolicyType.Isolation,2.128.10.0/24,0,r11,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r11
PolicyType.Isolation,2.128.10.0/24,0,r3,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r3
PolicyType.Isolation,2.128.10.0/24,0,r2,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r2
PolicyType.Isolation,2.128.10.0/24,0,r1,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r1
PolicyType.Isolation,2.128.10.0/24,0,r10,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet3/0 (2.128.10.0/24)},r10
PolicyType.Reachability,2.128.9.0/24,0,r9,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r9
PolicyType.Reachability,2.128.9.0/24,0,r8,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r8
PolicyType.Reachability,2.128.9.0/24,0,r11,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r11
PolicyType.Reachability,2.128.9.0/24,0,r3,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r3
PolicyType.Reachability,2.128.9.0/24,0,r4,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r4
PolicyType.Reachability,2.128.9.0/24,0,r6,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r6
PolicyType.Reachability,2.128.9.0/24,0,r5,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r5
PolicyType.Reachability,2.128.9.0/24,0,r2,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r2
PolicyType.Reachability,2.128.9.0/24,0,r1,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r1
PolicyType.Reachability,2.128.9.0/24,0,r7,PolicyStatus.HOLDS,{9},{r10:GigabitEthernet3/0 (2.128.9.0/24)},r7
PolicyType.Reachability,2.128.8.0/24,0,r11,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r11
PolicyType.Reachability,2.128.8.0/24,0,r3,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r3
PolicyType.Reachability,2.128.8.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r1
PolicyType.Reachability,2.128.8.0/24,0,r10,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r10
PolicyType.Isolation,2.128.8.0/24,0,r9,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r9
PolicyType.Isolation,2.128.8.0/24,0,r8,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r8
PolicyType.Isolation,2.128.8.0/24,0,r4,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r4
PolicyType.Isolation,2.128.8.0/24,0,r6,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r6
PolicyType.Isolation,2.128.8.0/24,0,r5,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r5
PolicyType.Isolation,2.128.8.0/24,0,r7,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet3/0 (2.128.8.0/24)},r7
PolicyType.Reachability,2.128.7.0/24,0,r3,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r3
PolicyType.Reachability,2.128.7.0/24,0,r2,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r2
PolicyType.Reachability,2.128.7.0/24,0,r1,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r1
PolicyType.Reachability,2.128.7.0/24,0,r10,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r10
PolicyType.Isolation,2.128.7.0/24,0,r9,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r9
PolicyType.Isolation,2.128.7.0/24,0,r8,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r8
PolicyType.Isolation,2.128.7.0/24,0,r4,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r4
PolicyType.Isolation,2.128.7.0/24,0,r6,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r6
PolicyType.Isolation,2.128.7.0/24,0,r5,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r5
PolicyType.Isolation,2.128.7.0/24,0,r7,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet3/0 (2.128.7.0/24)},r7
PolicyType.Reachability,2.128.6.0/24,0,r9,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet3/0 (2.128.6.0/24)},r9
PolicyType.Reachability,2.128.6.0/24,0,r8,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet3/0 (2.128.6.0/24)},r8
PolicyType.Reachability,2.128.6.0/24,0,r4,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet3/0 (2.128.6.0/24)},r4
PolicyType.Reachability,2.128.6.0/24,0,r6,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet3/0 (2.128.6.0/24)},r6
PolicyType.Reachability,2.128.6.0/24,0,r7,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet3/0 (2.128.6.0/24)},r7
PolicyType.Isolation,2.128.6.0/24,0,r11,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet3/0 (2.128.6.0/24)},r11
PolicyType.Isolation,2.128.6.0/24,0,r3,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet3/0 (2.128.6.0/24)},r3
PolicyType.Isolation,2.128.6.0/24,0,r2,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet3/0 (2.128.6.0/24)},r2
PolicyType.Isolation,2.128.6.0/24,0,r1,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet3/0 (2.128.6.0/24)},r1
PolicyType.Isolation,2.128.6.0/24,0,r10,PolicyStatus.HOLDS,{9},{r5:GigabitEthernet3/0 (2.128.6.0/24)},r10
PolicyType.Reachability,2.128.5.0/24,0,r9,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet2/0 (2.128.5.0/24)},r9
PolicyType.Reachability,2.128.5.0/24,0,r8,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet2/0 (2.128.5.0/24)},r8
PolicyType.Reachability,2.128.5.0/24,0,r6,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet2/0 (2.128.5.0/24)},r6
PolicyType.Reachability,2.128.5.0/24,0,r5,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet2/0 (2.128.5.0/24)},r5
PolicyType.Reachability,2.128.5.0/24,0,r7,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet2/0 (2.128.5.0/24)},r7
PolicyType.Isolation,2.128.5.0/24,0,r11,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet2/0 (2.128.5.0/24)},r11
PolicyType.Isolation,2.128.5.0/24,0,r3,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet2/0 (2.128.5.0/24)},r3
PolicyType.Isolation,2.128.5.0/24,0,r2,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet2/0 (2.128.5.0/24)},r2
PolicyType.Isolation,2.128.5.0/24,0,r1,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet2/0 (2.128.5.0/24)},r1
PolicyType.Isolation,2.128.5.0/24,0,r10,PolicyStatus.HOLDS,{9},{r4:GigabitEthernet2/0 (2.128.5.0/24)},r10
PolicyType.Reachability,2.128.4.0/24,0,r11,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet2/0 (2.128.4.0/24)},r11
PolicyType.Reachability,2.128.4.0/24,0,r2,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet2/0 (2.128.4.0/24)},r2
PolicyType.Reachability,2.128.4.0/24,0,r1,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet2/0 (2.128.4.0/24)},r1
PolicyType.Reachability,2.128.4.0/24,0,r10,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet2/0 (2.128.4.0/24)},r10
PolicyType.Isolation,2.128.4.0/24,0,r9,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet2/0 (2.128.4.0/24)},r9
PolicyType.Isolation,2.128.4.0/24,0,r8,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet2/0 (2.128.4.0/24)},r8
PolicyType.Isolation,2.128.4.0/24,0,r4,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet2/0 (2.128.4.0/24)},r4
PolicyType.Isolation,2.128.4.0/24,0,r6,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet2/0 (2.128.4.0/24)},r6
PolicyType.Isolation,2.128.4.0/24,0,r5,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet2/0 (2.128.4.0/24)},r5
PolicyType.Isolation,2.128.4.0/24,0,r7,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet2/0 (2.128.4.0/24)},r7
PolicyType.Reachability,2.128.3.0/24,0,r9,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet2/0 (2.128.3.0/24)},r9
PolicyType.Reachability,2.128.3.0/24,0,r8,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet2/0 (2.128.3.0/24)},r8
PolicyType.Reachability,2.128.3.0/24,0,r4,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet2/0 (2.128.3.0/24)},r4
PolicyType.Reachability,2.128.3.0/24,0,r5,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet2/0 (2.128.3.0/24)},r5
PolicyType.Reachability,2.128.3.0/24,0,r7,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet2/0 (2.128.3.0/24)},r7
PolicyType.Isolation,2.128.3.0/24,0,r11,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet2/0 (2.128.3.0/24)},r11
PolicyType.Isolation,2.128.3.0/24,0,r3,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet2/0 (2.128.3.0/24)},r3
PolicyType.Isolation,2.128.3.0/24,0,r2,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet2/0 (2.128.3.0/24)},r2
PolicyType.Isolation,2.128.3.0/24,0,r1,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet2/0 (2.128.3.0/24)},r1
PolicyType.Isolation,2.128.3.0/24,0,r10,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet2/0 (2.128.3.0/24)},r10
PolicyType.Reachability,2.128.2.0/24,0,r11,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet2/0 (2.128.2.0/24)},r11
PolicyType.Reachability,2.128.2.0/24,0,r3,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet2/0 (2.128.2.0/24)},r3
PolicyType.Reachability,2.128.2.0/24,0,r2,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet2/0 (2.128.2.0/24)},r2
PolicyType.Reachability,2.128.2.0/24,0,r10,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet2/0 (2.128.2.0/24)},r10
PolicyType.Isolation,2.128.2.0/24,0,r9,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet2/0 (2.128.2.0/24)},r9
PolicyType.Isolation,2.128.2.0/24,0,r8,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet2/0 (2.128.2.0/24)},r8
PolicyType.Isolation,2.128.2.0/24,0,r4,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet2/0 (2.128.2.0/24)},r4
PolicyType.Isolation,2.128.2.0/24,0,r6,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet2/0 (2.128.2.0/24)},r6
PolicyType.Isolation,2.128.2.0/24,0,r5,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet2/0 (2.128.2.0/24)},r5
PolicyType.Isolation,2.128.2.0/24,0,r7,PolicyStatus.HOLDS,{9},{r1:GigabitEthernet2/0 (2.128.2.0/24)},r7
PolicyType.Reachability,2.128.1.0/24,0,r11,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet2/0 (2.128.1.0/24)},r11
PolicyType.Reachability,2.128.1.0/24,0,r3,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet2/0 (2.128.1.0/24)},r3
PolicyType.Reachability,2.128.1.0/24,0,r1,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet2/0 (2.128.1.0/24)},r1
PolicyType.Reachability,2.128.1.0/24,0,r10,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet2/0 (2.128.1.0/24)},r10
PolicyType.Isolation,2.128.1.0/24,0,r9,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet2/0 (2.128.1.0/24)},r9
PolicyType.Isolation,2.128.1.0/24,0,r8,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet2/0 (2.128.1.0/24)},r8
PolicyType.Isolation,2.128.1.0/24,0,r4,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet2/0 (2.128.1.0/24)},r4
PolicyType.Isolation,2.128.1.0/24,0,r6,PolicyStatus.HOLDS,{9},{r2:GigabitEthernet2/0 (2.128.1.0/24)},r6
