type,subnet,specifics,source,Status,Environments,Destinations,Sources
PolicyType.Reachability,32.147.210.0/24,0,r2,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.147.210.0/24)},r2
PolicyType.Reachability,32.147.210.0/24,0,r8,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.147.210.0/24)},r8
PolicyType.Reachability,32.147.210.0/24,0,r5,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.147.210.0/24)},r5
PolicyType.Reachability,32.147.210.0/24,0,r7,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.147.210.0/24)},r7
PolicyType.Reachability,32.147.210.0/24,0,r1,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.147.210.0/24)},r1
PolicyType.Reachability,32.147.210.0/24,0,r4,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.147.210.0/24)},r4
PolicyType.Reachability,32.147.210.0/24,0,r9,PolicyStatus.HOLDS,{9},{r6:GigabitEthernet100/0 (32.147.210.0/24)},r9
PolicyType.Reachability,32.134.255.0/24,0,r3,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.134.255.0/24)},r3
PolicyType.Reachability,32.134.255.0/24,0,r10,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.134.255.0/24)},r10
PolicyType.Reachability,32.134.255.0/24,0,r2,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.134.255.0/24)},r2
PolicyType.Reachability,32.134.255.0/24,0,r8,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.134.255.0/24)},r8
PolicyType.Reachability,32.134.255.0/24,0,r7,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.134.255.0/24)},r7
PolicyType.Reachability,32.134.255.0/24,0,r6,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.134.255.0/24)},r6
PolicyType.Reachability,32.134.255.0/24,0,r5,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.134.255.0/24)},r5
PolicyType.Reachability,32.134.255.0/24,0,r1,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.134.255.0/24)},r1
PolicyType.Reachability,32.134.255.0/24,0,r4,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.134.255.0/24)},r4
PolicyType.Reachability,32.134.255.0/24,0,r9,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet110/0 (32.134.255.0/24)},r9
PolicyType.Reachability,32.128.130.0/24,0,r3,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet120/0 (32.128.130.0/24)},r3
PolicyType.Reachability,32.128.130.0/24,0,r10,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet120/0 (32.128.130.0/24)},r10
PolicyType.Reachability,32.128.130.0/24,0,r2,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet120/0 (32.128.130.0/24)},r2
PolicyType.Reachability,32.128.130.0/24,0,r8,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet120/0 (32.128.130.0/24)},r8
PolicyType.Reachability,32.128.130.0/24,0,r7,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet120/0 (32.128.130.0/24)},r7
PolicyType.Reachability,32.128.130.0/24,0,r6,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet120/0 (32.128.130.0/24)},r6
PolicyType.Reachability,32.128.130.0/24,0,r5,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet120/0 (32.128.130.0/24)},r5
PolicyType.Reachability,32.128.130.0/24,0,r1,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet120/0 (32.128.130.0/24)},r1
PolicyType.Reachability,32.128.130.0/24,0,r4,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet120/0 (32.128.130.0/24)},r4
PolicyType.Reachability,32.128.130.0/24,0,r9,PolicyStatus.HOLDS,{9},{r11:GigabitEthernet120/0 (32.128.130.0/24)},r9
PolicyType.Reachability,32.127.152.0/24,0,r11,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.127.152.0/24)},r11
PolicyType.Reachability,32.127.152.0/24,0,r10,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.127.152.0/24)},r10
PolicyType.Reachability,32.127.152.0/24,0,r2,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.127.152.0/24)},r2
PolicyType.Reachability,32.127.152.0/24,0,r7,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.127.152.0/24)},r7
PolicyType.Reachability,32.127.152.0/24,0,r8,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.127.152.0/24)},r8
PolicyType.Reachability,32.127.152.0/24,0,r6,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.127.152.0/24)},r6
PolicyType.Reachability,32.127.152.0/24,0,r5,PolicyStatus.HOLDS,{9},{r3:GigabitEthernet100/0 (32.127.152.0/24)},r5
